source,target,link_type,article_id
Leon Perera,MOT,PERSON,smrt_smrt_01088
Leon Perera,Non-Constituency,PERSON,smrt_smrt_01088
Leon Perera,Transport Ministry,PERSON,smrt_smrt_01088
Leon Perera,Workers' Party,PERSON,smrt_smrt_01088
Lianhe Zaobao,SMRT,ORGANIZATION,smrt_smrt_01102|smrt_smrt_01108
Lianhe Zaobao,Seah Moon Ming,PERSON,smrt_smrt_01102|smrt_smrt_01108
Lim Say Heng,SMRT,PERSON,smrt_smrt_01401|smrt_smrt_01405|smrt_smrt_01418
Lum Chong Chuen,Patrick Nathan,PERSON,smrt_smrt_00080
Lum Chong Chuen,SMRT,PERSON,smrt_smrt_00080
MOM,Ministry of Manpower,PERSON,smrt_smrt_00218
MOM,SMRT,PERSON,smrt_smrt_00100|smrt_smrt_00218
MOT,Non-Constituency,ORGANIZATION,smrt_smrt_01088
MOT,Transport Ministry,ORGANIZATION,smrt_smrt_01088
MOT,Workers' Party,ORGANIZATION,smrt_smrt_01088
MOU,Prasarana,ORGANIZATION,smrt_smrt_00800
MOU,RTS,ORGANIZATION,smrt_smrt_00800
MOU,SMRT,ORGANIZATION,smrt_smrt_00800
MP,Ngien Hoon Ping,PERSON,smrt_smrt_01153
MP,PAP,PERSON,smrt_smrt_01153
MP,SMRT,PERSON,smrt_smrt_01153
MP,Seah Moon Ming,PERSON,smrt_smrt_01153
Ma.,Mohamad Nazaruddin,PERSON,smrt_smrt_00102
Ma.,Rosario Ortiz,PERSON,smrt_smrt_00102
Ma.,SMRT,PERSON,smrt_smrt_00102
Madam Maria Elena,Mohamad Nazaruddin,PERSON,smrt_smrt_00002
Madam Maria Elena,Rosario Ortiz,PERSON,smrt_smrt_00002
Madam Maria Elena,SMRT,PERSON,smrt_smrt_00002
Madam Maria Elena,Surprise passenger,PERSON,smrt_smrt_00002
Margaret Teo,SMRT,PERSON,smrt_smrt_01299|smrt_smrt_01338
Masagos,SMRT,PERSON,smrt_smrt_00677
McLaren,McLaren Applied Technologies,ORGANIZATION,smrt_smrt_01422
McLaren,McLaren Group,ORGANIZATION,smrt_smrt_01422
McLaren,McLaren Racing,ORGANIZATION,smrt_smrt_01422
McLaren,SMRT,ORGANIZATION,smrt_smrt_01422
McLaren Applied Technologies,McLaren Group,ORGANIZATION,smrt_smrt_01422
McLaren Applied Technologies,McLaren Racing,ORGANIZATION,smrt_smrt_01422
McLaren Applied Technologies,SMRT,ORGANIZATION,smrt_smrt_01409|smrt_smrt_01422
McLaren Group,McLaren Racing,ORGANIZATION,smrt_smrt_01422
McLaren Group,SMRT,ORGANIZATION,smrt_smrt_01422
McLaren Racing,SMRT,ORGANIZATION,smrt_smrt_01422
Ministry of Manpower,SMRT,ORGANIZATION,smrt_smrt_00218
Mohamad Nazaruddin,Rosario Ortiz,PERSON,smrt_smrt_00002|smrt_smrt_00102
Mohamad Nazaruddin,SMRT,PERSON,smrt_smrt_00002|smrt_smrt_00102
Mohamad Nazaruddin,Surprise passenger,PERSON,smrt_smrt_00002
NSFs,SMRT,PERSON,smrt_smrt_01252
NSL,SMRT,ORGANIZATION,smrt_smrt_00301|smrt_smrt_00323|smrt_smrt_00326|smrt_smrt_00413|smrt_smrt_00506|smrt_smrt_00601|smrt_smrt_01300
NSL,Singapore Mass rapid Transit,ORGANIZATION,smrt_smrt_00331
NSL,TWE,ORGANIZATION,smrt_smrt_00506|smrt_smrt_00601
NSL,Thales,ORGANIZATION,smrt_smrt_00506
NSL,The Straits Times,ORGANIZATION,smrt_smrt_00301|smrt_smrt_00323
Ngien Hoon Ping,PAP,PERSON,smrt_smrt_01153
Ngien Hoon Ping,SMRT,PERSON,smrt_smrt_01153
Ngien Hoon Ping,Seah Moon Ming,PERSON,smrt_smrt_01153
Non-Constituency,Transport Ministry,ORGANIZATION,smrt_smrt_01088
Non-Constituency,Workers' Party,ORGANIZATION,smrt_smrt_01088
North-South,SMRT,ORGANIZATION,smrt_smrt_00019|smrt_smrt_00029|smrt_smrt_00116|smrt_smrt_00310
North-South,Spate,PERSON,smrt_smrt_00116
Outram Park MRT,The Straits Times,ORGANIZATION,smrt_smrt_01438
PAP,SMRT,ORGANIZATION,smrt_smrt_01153
PAP,Seah Moon Ming,PERSON,smrt_smrt_01153
PSLE,Primary School Leaving Examinations,ORGANIZATION,smrt_smrt_00821
PSLE,SMRT,ORGANIZATION,smrt_smrt_00813|smrt_smrt_00821
PSLE,Tanah Merah,PERSON,smrt_smrt_00813|smrt_smrt_00821
Parliament,SMRT,ORGANIZATION,smrt_smrt_00888|smrt_smrt_01048
Partygoers,SBS Transit,PERSON,smrt_smrt_01110
Partygoers,SMRT,PERSON,smrt_smrt_01110
Patrick Nathan,SMRT,PERSON,smrt_smrt_00003|smrt_smrt_00015|smrt_smrt_00033|smrt_smrt_00080|smrt_smrt_00103|smrt_smrt_00501|smrt_smrt_00514|smrt_smrt_00702|smrt_smrt_00907|smrt_smrt_01123
Patrick Nathan,Tan,PERSON,smrt_smrt_00033
Patrick Nathan,The Straits Times,PERSON,smrt_smrt_00103
Patrick Nathan,Volvo,PERSON,smrt_smrt_00033
Patrick Nathan,Wong Lai Cheng,PERSON,smrt_smrt_00015
Pavilion Energy,SMRT,ORGANIZATION,smrt_smrt_01101
Pavilion Energy,Seah Moon Ming,PERSON,smrt_smrt_00487|smrt_smrt_01101|smrt_smrt_01103
Pavilion Energy,THE BUSINESS TIMES,ORGANIZATION,smrt_smrt_01101
Pavilion Energy,Temasek Holdings,ORGANIZATION,smrt_smrt_01101
Pls,SMRT,PERSON,smrt_smrt_00018
Prasarana,RTS,ORGANIZATION,smrt_smrt_00800|smrt_smrt_01217
Prasarana,Rail operators,ORGANIZATION,smrt_smrt_01217
Prasarana,SMRT,ORGANIZATION,smrt_smrt_00800|smrt_smrt_01217
Prasarana Malaysia,Prime Minister's Department,ORGANIZATION,smrt_smrt_01331
Prasarana Malaysia,RTS,ORGANIZATION,smrt_smrt_01243
Prasarana Malaysia,SINGAPORE - Rail,ORGANIZATION,smrt_smrt_01243
Prasarana Malaysia,SMRT,ORGANIZATION,smrt_smrt_01243|smrt_smrt_01283|smrt_smrt_01331
Primary School Leaving Examinations,SMRT,ORGANIZATION,smrt_smrt_00821
Primary School Leaving Examinations,Tanah Merah,PERSON,smrt_smrt_00821
Prime Minister's Department,SMRT,ORGANIZATION,smrt_smrt_01331
Pritam Singh,SMRT,PERSON,smrt_smrt_01059
RTS,Rail operators,ORGANIZATION,smrt_smrt_01217
RTS,SINGAPORE - Rail,ORGANIZATION,smrt_smrt_01243
RTS,SMRT,ORGANIZATION,smrt_smrt_00800|smrt_smrt_01217|smrt_smrt_01243
Rail operators,SMRT,ORGANIZATION,smrt_smrt_01217
Rosario Ortiz,SMRT,PERSON,smrt_smrt_00002|smrt_smrt_00102
Rosario Ortiz,Surprise passenger,PERSON,smrt_smrt_00002
SBS Transit,SINGAPORE - Rail,ORGANIZATION,smrt_smrt_00802
SBS Transit,SMRT,ORGANIZATION,smrt_smrt_00021|smrt_smrt_00802|smrt_smrt_00807|smrt_smrt_00818|smrt_smrt_00941|smrt_smrt_01110|smrt_smrt_01115|smrt_smrt_01132|smrt_smrt_01310
SBS Transit,TEL,ORGANIZATION,smrt_smrt_00802|smrt_smrt_00807|smrt_smrt_00818
SBS Transit,Thomson,ORGANIZATION,smrt_smrt_00802|smrt_smrt_00807|smrt_smrt_00818|smrt_smrt_00941
SEAB,Tanah Merah,PERSON,smrt_smrt_00822
SINGAPORE - Rail,SMRT,ORGANIZATION,smrt_smrt_00802|smrt_smrt_00906|smrt_smrt_01243
